Community,dirty_streets,homes_without_vehicle,hs_completion,public_art,event_permits,unemployment,commercial_properties,employment,no_hs_diploma,some_college,bachelors_degree,homes_no_internet,business_lessthan1yr,businesses,violent_crime,property_crime,shootings,part1_crime,overdose_calls,residential_properties,vacants_ownedby_city,home_sales_foreclosure,cash_homesales,housing_violations,rehab_permits,foreclosures,owner_occupied,no_mail,construct_permits,homestead_taxcredits,demo_permits,rent_afford,mortgage_afford,pop_change,population,income,vacant_abandoned
Allendale/Irvington/S. Hilton,77.8,36.4,73.9,0.9,0,9.7,278,64.4,17.5,70.8,11.7,22.4,5.5,8.2,20,31.9,3.8,51.9,7.1,5750,1.6,12.6,49.6,2.9,3.9,0.4,52.3,10.2,0,9,0.5,47.5,32.8,-8.6,14828,"42,714.6",6.5
Baltimore City,60.6,27.6,78.1,1.6,0.4,7.7,15073,65.6,14.5,52.7,32.9,17.6,7.4,23.4,16.1,31.1,3.6,47.2,8.6,204773,9.9,6.9,32,2.9,5,0.3,52.6,8.3,0,79.7,1.5,47.5,31,-5.7,585708,"52,318.2",7.7
Beechfield/Ten Hills/West Hills,24.2,13.3,78.6,0.5,0,2.9,45,77.7,6.1,70.6,23.3,15,7.1,6.5,9.8,20.9,1.8,30.7,2.2,3610,5,7.4,13.5,0.8,3.8,0.2,75.5,3,0,10.2,0,56.8,37.8,-1.5,12083,"55,435.5",0.6
Belair-Edison,74.8,26,81.6,1.3,0.3,7.9,163,63,14.9,66.4,18.7,16.3,6.2,8.4,15.9,28,3.2,44,3.5,6292,0,9.4,40.2,2.3,3.3,0.4,54.2,9.7,0,49.3,0.2,63.1,32,-13.4,15085,"50,010.4",3.3
Brooklyn/Curtis Bay/Hawkins Point,108.3,29.9,69.3,0.5,0.1,12,755,56.8,28.7,62.5,8.8,30.4,4,13.4,17.6,38.1,5.2,55.6,12.4,4273,1.2,8.6,56.3,3.5,2.6,0.4,37,15.8,0,2.1,0.9,52.1,50.2,-5.4,13479,"32,598.8",8.1
Canton,36.3,4.7,NA,1.1,4.6,2.6,189,86.8,5.9,18.8,75.3,5,4.7,27.7,5.2,30.7,0.2,35.9,1.7,4036,0,2.1,9.9,1.1,6.1,0.2,65.1,5.5,0,218.8,0.2,26.7,20.5,1.7,8239,"134,208.8",0.4
Cedonia/Frankford,18.7,19.1,77.5,0.2,0.1,6.1,235,69.2,14.1,66.7,19.3,13.7,5.6,10.2,13.3,26.9,3.5,40.2,3.1,6295,1.3,12.1,20.5,1.8,5,0.5,68.8,3.8,0,11.9,0,46.7,30.3,-4.7,22455,"51,097.8",1.2
Cherry Hill,15.1,54.6,72.7,1.3,0.7,14.1,93,53.6,17.2,72.6,10.2,30.7,8.1,13.1,19.1,21.3,4.7,40.4,5.7,986,1.7,8.3,70.8,2.8,1.4,0.1,43.6,4.9,0,NA,0,40.8,34.7,-8.6,7496,"24,762.1",6
Chinquapin Park/Belvedere,23.4,16.9,81.8,0.6,0.1,5.8,56,76.9,15.4,55.2,29.5,7.5,7.9,11.5,9,17.9,1.2,26.9,4,2685,0,6.9,18.6,1.2,3.9,0.4,64.8,10.4,0,35.4,0,41,28.5,-6.9,7219,"59,616.5",0.8
Claremont/Armistead,17,27.5,80.2,0.6,0,2.3,227,68.6,22.4,67.7,9.9,23.2,3.9,8.3,16.9,31.2,1.8,48.1,3.9,2278,0,8.7,13,0.5,1.8,0.3,82.4,4.8,0.4,20.6,0,42.8,35.9,10.1,9064,"40,449.7",0.1
