"Community","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Allendale/Irvington/S. Hilton",4.3,4.7,5.1,5.2,5.7,6,5.1,5.7,6,6.7,6.5
"Baltimore City",7.9,7.8,8,8,8.1,8.2,8,8.2,8.2,8,7.7
"Beechfield/Ten Hills/West Hills",0.3,0.4,0.8,0.4,0.6,0.9,0.8,1,1,0.8,0.6
"Belair-Edison",1.4,1.7,2,2.5,2.7,3,2.8,3.7,3.6,3.4,3.3
"Brooklyn/Curtis Bay/Hawkins Point",3.7,4.2,5,5.5,5.9,6.2,6.3,7.1,7.8,8,8.1
"Canton",0.9,0.7,0.8,0.6,0.5,0.4,0.3,0.4,0.5,0.5,0.4
"Cedonia/Frankford",0.7,0.6,1.1,1.3,1.7,1.9,1.4,1.3,1.2,1.3,1.2
"Cherry Hill",3.4,3.7,4,4.1,4.9,5.2,5.3,5.6,6.1,6.1,6
"Chinquapin Park/Belvedere",0.3,0.6,0.7,1,1.6,1.7,1.3,1.6,1.4,1,0.8
"Claremont/Armistead",0,0.3,0.3,0.5,0.2,0.4,0.4,0.2,0.1,0.1,0.1
"Clifton-Berea",24.5,23.7,24.1,25.1,26,26.7,25,26.6,26.7,24.5,23.7
"Cross-Country/Cheswolde",0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2
"Dickeyville/Franklintown",1.5,1.4,4.7,2.5,2.2,1.9,1.5,1.6,1.2,1.6,1.9
"Dorchester/Ashburton",3.3,3.2,3.3,2.9,3.1,3.5,3.6,3.5,3.5,3.5,3.2
"Downtown/Seton Hill",8.4,8.9,8.6,9.9,10.2,11.6,15.9,11.9,11.2,10.8,9.3
"Edmondson Village",2.6,2.9,3.4,3.2,3.7,3.4,3.1,3.9,4.3,4.5,3.9
"Fells Point",1,1.1,0.9,1.2,0.8,0.8,1.9,1,1,0.9,0.9
"Forest Park/Walbrook",5.6,5.7,6.4,6.2,6,6.3,6.5,6.4,6.5,6.7,5.9
"Glen-Fallstaff",0.7,0.8,0.9,1.1,1.1,1.3,1.4,1.3,1.2,1.2,1.1
"Greater Charles Village/Barclay",9.6,9,7.6,6.8,5.7,5.4,7.4,4.6,4.3,4.3,4.2
"Greater Govans",4.1,4,4.5,4.5,4.9,5,4.3,4.4,4.3,4.1,3.6
"Greater Mondawmin",10.3,10.3,10.9,11.4,12,12.3,13.9,13.2,13.1,13.9,13.9
"Greater Roland Park/Poplar Hill",0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1
"Greater Rosemont",14.9,15.5,16,15.7,16.3,16.8,18.5,18.7,18.7,19.6,19.1
"Greenmount East",38.6,34.7,35.6,32.7,32.8,32.5,33.5,31.6,31.2,30.5,29.2
"Hamilton",0.3,0.5,0.4,0.6,0.9,1,1,0.9,1,1,1
"Harbor East/Little Italy",1.6,1.7,1.7,2.1,1.9,1.6,3.4,1.6,1.8,1.5,1.6
"Harford/Echodale",0.2,0.3,0.3,0.5,1,1.2,1,0.9,0.8,0.7,0.7
"Highlandtown",1,1.1,1.6,1.7,1.2,1.2,1.5,1.8,1.6,1.5,1.2
"Howard Park/West Arlington",2,2,4.1,2.3,2.4,2.7,2.7,2.4,2.2,2,1.7
"Inner Harbor/Federal Hill",0.6,0.5,0.4,0.5,0.6,0.5,0.5,0.3,0.4,0.4,0.4
"Lauraville",0.7,0.8,1.2,1.5,1.6,1.9,2.1,1.7,1.5,1.5,1.2
"Loch Raven",0.1,0.1,0.1,0.3,0.6,0.6,0.6,0.6,0.6,0.5,0.4
"Madison/East End",25.7,22.7,20.7,20.7,20.1,19.9,18.4,19.4,20,19.8,18.7
"Medfield/Hampden/Woodberry/Remington",1,0.9,1,0.9,0.8,0.7,0.7,0.7,0.8,0.8,0.7
"Midtown",5.3,4.7,4.1,3.6,2.9,2.7,4.2,2,1.6,1.3,1.2
"Midway/Coldstream",16.6,16.2,17.7,18.9,20.9,20,28.2,20.5,21.1,21.4,19.8
"Morrell Park/Violetville",1.6,1.6,1.8,1.8,2.2,2.2,2.3,2.1,2.1,2.1,1.9
"Mount Washington/Coldspring",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
"North Baltimore/Guilford/Homeland",0.2,0.2,0.2,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5
"Northwood",0.2,0.3,0.4,0.4,0.7,0.8,0.6,0.7,0.6,0.6,0.5
"Oldtown/Middle East",40.1,41.7,37.3,34.7,24.8,26.6,18.1,14.2,13.5,11.8,9.9
"Orangeville/East Highlandtown",1.4,1.3,1.4,1.5,1.6,1.6,1.4,1.5,1.5,1.2,1.1
"Patterson Park North and East",5.3,4.6,4.4,3.8,3.6,3.6,2.8,NA,3.6,3.8,NA
"Penn North/Reservoir Hill",16.4,16.1,16,16.3,15.8,16.4,15.4,16.3,16.6,16.8,15.8
